,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,MMTPrice,YatraPrice,GoPrice
258,Akasa Air,QP 1127,Mumbai,13:05:00,New Delhi,15:10,02 h 05 m,4745,6605,3667
259,IndiGo,6E 993,Mumbai,14:30:00,New Delhi,16:35,02 h 05 m,4745,6929,5710
260,Air India,AI 442,Mumbai,15:35:00,New Delhi,18:10,02 h 35 m,4745,3849,4458
261,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,4745,6492,5270
262,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,4745,5930,7465
263,Air India,AI 687,Mumbai,16:00:00,New Delhi,18:20,02 h 20 m,4745,3371,4538
264,IndiGo,6E 2103,Mumbai,17:15:00,New Delhi,19:25,02 h 10 m,4745,7870,3079
265,SpiceJet,SG 710,Mumbai,22:30:00,New Delhi,"01:00
+ 1 DAY",02 h 30 m,4745,3273,5558
266,IndiGo,6E 2083,Mumbai,22:50:00,New Delhi,"01:00
+ 1 DAY",02 h 10 m,4745,3877,3586
267,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,4745,4693,7389
268,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,4745,6725,3169
347,IndiGo,6E 2461,New Delhi,01:55:00,Hyderabad,04:10,02 h 15 m,4750,4556,7427
348,IndiGo,6E 2337,New Delhi,05:40:00,Hyderabad,07:55,02 h 15 m,4750,7651,6024
349,IndiGo,6E 6203,New Delhi,06:30:00,Hyderabad,08:40,02 h 10 m,4750,7369,6745
350,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4750,7016,3577
351,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4750,4293,7957
352,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4750,6579,5274
353,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,4750,5927,7388
354,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,4750,5772,6234
355,Air India,AI 542,New Delhi,09:30:00,Hyderabad,12:00,02 h 30 m,4750,5256,4957
356,IndiGo,6E 2005,New Delhi,10:10:00,Hyderabad,12:15,02 h 05 m,4750,4999,5177
357,Air India,AI 522,New Delhi,11:05:00,Hyderabad,13:25,02 h 20 m,4750,5353,3244
358,IndiGo,6E 837,New Delhi,13:30:00,Hyderabad,15:45,02 h 15 m,4750,3313,7602
359,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,4750,6508,3519
360,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,4750,7944,4007
361,Air India,AI 544,New Delhi,17:00:00,Hyderabad,19:10,02 h 10 m,4750,4464,3687
362,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,4750,4738,3468
363,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,4750,5314,5105
364,IndiGo,6E 2341,New Delhi,18:45:00,Hyderabad,21:00,02 h 15 m,4750,6288,3420
365,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,4750,6527,6216
366,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,4750,3566,4869
367,IndiGo,6E 2371,New Delhi,21:25:00,Hyderabad,23:40,02 h 15 m,4750,6588,5048
368,Air India,AI 839,New Delhi,21:30:00,Hyderabad,23:45,02 h 15 m,4750,3754,5022
186,Akasa Air,QP 1719,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,4758,6002,6264
187,Akasa Air,QP 1411,New Delhi,10:55:00,Mumbai,13:05,02 h 10 m,4758,6890,6025
188,Akasa Air,QP 1128,New Delhi,16:00:00,Mumbai,18:10,02 h 10 m,4758,4964,7111
189,IndiGo,6E 2009,New Delhi,01:00:00,Mumbai,03:00,02 h,4780,4930,4328
190,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4780,7998,7643
191,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4780,3138,4878
192,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,4780,5695,5085
193,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,4780,3584,4268
194,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,4780,5372,6402
195,IndiGo,6E 6814,New Delhi,07:15:00,Mumbai,09:20,02 h 05 m,4780,4466,7737
196,IndiGo,6E 2075,New Delhi,08:00:00,Mumbai,10:15,02 h 15 m,4780,6220,5181
197,Air India,AI 665,New Delhi,08:00:00,Mumbai,10:20,02 h 20 m,4780,4534,7425
198,IndiGo,6E 5112,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,4780,4942,7085
199,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4780,4255,3157
200,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4780,6084,3312
201,Air India,AI 865,New Delhi,10:00:00,Mumbai,12:30,02 h 30 m,4780,3579,6475
202,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4780,4414,7736
203,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4780,6994,6000
204,SpiceJet,SG 157,New Delhi,12:10:00,Mumbai,14:35,02 h 25 m,4780,3281,3332
205,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,4780,3028,7954
206,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,4780,5505,7176
207,Air India,AI 620,New Delhi,13:30:00,Mumbai,15:40,02 h 10 m,4780,7316,3393
208,Air India,AI 863,New Delhi,14:00:00,Mumbai,16:20,02 h 20 m,4780,4011,7472
209,IndiGo,6E 2176,New Delhi,14:20:00,Mumbai,16:30,02 h 10 m,4780,6974,5788
210,IndiGo,6E 2016,New Delhi,15:45:00,Mumbai,18:00,02 h 15 m,4780,4903,4163
211,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,4780,7162,3327
212,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,4780,3570,3669
213,Air India,AI 441,New Delhi,17:15:00,Mumbai,19:30,02 h 15 m,4780,6059,4235
214,IndiGo,6E 864,New Delhi,17:30:00,Mumbai,19:40,02 h 10 m,4780,4397,5371
215,IndiGo,6E 2017,New Delhi,18:30:00,Mumbai,20:35,02 h 05 m,4780,7395,4352
216,SpiceJet,SG 8709,New Delhi,18:55:00,Mumbai,21:25,02 h 30 m,4780,7954,7362
217,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,4780,5062,6193
218,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,4780,5541,5901
219,Air India,AI 805,New Delhi,20:00:00,Mumbai,22:10,02 h 10 m,4780,6513,6227
220,IndiGo,6E 6424,New Delhi,20:15:00,Mumbai,22:45,02 h 30 m,4780,7244,4814
221,IndiGo,6E 6083,New Delhi,21:00:00,Mumbai,23:05,02 h 05 m,4780,6088,6650
222,IndiGo,6E 2114,New Delhi,22:00:00,Mumbai,"00:05
+ 1 DAY",02 h 05 m,4780,4106,5077
223,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4780,4999,7880
224,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4780,3886,4795
225,IndiGo,6E 2519,New Delhi,23:15:00,Mumbai,"01:20
+ 1 DAY",02 h 05 m,4780,5293,5761
369,Vistara,UK 879,New Delhi,17:35:00,Hyderabad,19:50,02 h 15 m,4873,3623,3759
226,Vistara,UK 951,New Delhi,14:20:00,Mumbai,16:25,02 h 05 m,4880,7894,7335
67,AirAsia,I5 2991,Bengaluru,21:25:00,Mumbai,23:10,01 h 45 m,4899,6587,6034
68,IndiGo,6E 488,Bengaluru,10:15:00,Mumbai,11:55,01 h 40 m,4900,7755,7124
69,IndiGo,6E 5134,Bengaluru,13:45:00,Mumbai,15:20,01 h 35 m,4900,4104,3683
370,Vistara,UK 859,New Delhi,10:25:00,Hyderabad,12:35,02 h 10 m,4904,3408,3367
371,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,4925,4793,3175
372,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,4925,6626,6615
227,Vistara,UK 995,New Delhi,10:20:00,Mumbai,12:35,02 h 15 m,4933,7903,7987
376,Akasa Air,QP 1407,Hyderabad,19:25:00,New Delhi,21:45,02 h 20 m,4979,7061,6481
373,SpiceJet,SG 8164,New Delhi,23:00:00,Hyderabad,"01:00
+ 1 DAY",02 h,4981,3391,3823
377,IndiGo,6E 379,Hyderabad,05:05:00,New Delhi,07:25,02 h 20 m,4986,6245,6331
378,IndiGo,6E 491,Hyderabad,09:30:00,New Delhi,11:50,02 h 20 m,4986,3739,3290
379,IndiGo,6E 2171,Hyderabad,11:55:00,New Delhi,14:05,02 h 10 m,4986,7693,5871
380,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4986,6517,3034
381,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4986,4159,4632
382,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4986,5146,5359
383,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,4986,3678,3641
384,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,4986,7040,5483
385,IndiGo,6E 5605,Hyderabad,21:55:00,New Delhi,"00:05
+ 1 DAY",02 h 10 m,4986,3002,4527
386,IndiGo,6E 6146,Hyderabad,22:45:00,New Delhi,"01:00
+ 1 DAY",02 h 15 m,4986,4788,3183
228,Vistara,UK 963,New Delhi,09:00:00,Mumbai,11:15,02 h 15 m,5038,6849,3387
229,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,5038,3830,4391
230,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,5038,4566,5964
26,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,5039,7216,6482
27,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,5039,4773,5242
231,SpiceJet,SG 8192,New Delhi,18:20:00,Mumbai,20:45,02 h 25 m,5042,3583,3746
387,Air India,AI 543,Hyderabad,10:05:00,New Delhi,12:30,02 h 25 m,5052,3388,5696
70,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,5149,6449,6932
71,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,5149,6997,5074
269,IndiGo,6E 6082,Mumbai,18:00:00,New Delhi,20:00,02 h,5184,5871,6169
388,IndiGo,6E 2011,Hyderabad,06:45:00,New Delhi,09:00,02 h 15 m,5210,5997,6844
389,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,5210,5935,7257
390,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,5210,3112,4316
391,IndiGo,6E 6606,Hyderabad,16:30:00,New Delhi,18:50,02 h 20 m,5210,6126,5981
91,Akasa Air,QP 1409,New Delhi,23:00:00,Bengaluru,"01:45
+ 1 DAY",02 h 45 m,5230,5966,7333
92,AirAsia,I5 740,New Delhi,07:50:00,Bengaluru,10:40,02 h 50 m,5235,6515,5887
93,AirAsia,I5 1534,New Delhi,22:55:00,Bengaluru,"01:35
+ 1 DAY",02 h 40 m,5235,4063,7290
94,IndiGo,6E 2067,New Delhi,03:55:00,Bengaluru,06:45,02 h 50 m,5236,3612,6462
95,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5236,4696,3263
96,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5236,4580,3198
97,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,5236,4793,5193
98,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,5236,3723,6735
99,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,5236,3018,7892
100,IndiGo,6E 308,New Delhi,08:00:00,Bengaluru,11:00,03 h,5236,3232,7241
101,IndiGo,6E 2131,New Delhi,21:45:00,Bengaluru,"00:35
+ 1 DAY",02 h 50 m,5236,3117,6020
102,IndiGo,6E 6565,New Delhi,22:55:00,Bengaluru,"01:40
+ 1 DAY",02 h 45 m,5236,3110,7523
72,IndiGo,6E 5207,Bengaluru,07:05:00,Mumbai,08:55,01 h 50 m,5240,4683,4105
103,Air India,AI 514,New Delhi,03:30:00,Bengaluru,06:25,02 h 55 m,5240,5310,6244
104,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,5240,6697,6779
105,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,5240,3343,7333
106,Air India,AI 504,New Delhi,21:10:00,Bengaluru,"00:05
+ 1 DAY",02 h 55 m,5240,5020,6372
270,Air India,AI 660,Mumbai,18:15:00,New Delhi,20:15,02 h,5281,4668,3224
107,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,5297,4915,5542
108,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,5297,7173,7859
109,SpiceJet,SG 8143,New Delhi,23:55:00,Bengaluru,"02:40
+ 1 DAY",02 h 45 m,5297,5911,7275
232,Vistara,UK 945,New Delhi,11:40:00,Mumbai,13:50,02 h 10 m,5316,4311,3191
233,Air India,AI 605,New Delhi,21:15:00,Mumbai,23:35,02 h 20 m,5316,5774,6944
139,IndiGo,6E 6247,Bengaluru,04:25:00,New Delhi,07:15,02 h 50 m,5354,5179,4597
140,IndiGo,6E 5021,Bengaluru,05:35:00,New Delhi,08:25,02 h 50 m,5354,4780,4300
141,IndiGo,6E 6621,Bengaluru,15:20:00,New Delhi,18:15,02 h 55 m,5354,5659,6925
142,IndiGo,6E 5039,Bengaluru,16:45:00,New Delhi,19:35,02 h 50 m,5354,7010,5194
143,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,5354,4237,5244
144,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,5354,6293,5601
145,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,5354,7226,6428
146,AirAsia,I5 1532,Bengaluru,19:10:00,New Delhi,22:05,02 h 55 m,5354,3237,3695
147,AirAsia,I5 1532,Bengaluru,19:10:00,New Delhi,22:05,02 h 55 m,5354,5462,6156
148,IndiGo,6E 735,Bengaluru,19:20:00,New Delhi,22:05,02 h 45 m,5354,4580,4956
149,IndiGo,6E 2406,Bengaluru,20:35:00,New Delhi,23:20,02 h 45 m,5354,4090,4236
150,Air India,AI 511,Bengaluru,14:55:00,New Delhi,18:20,03 h 25 m,5368,6104,6530
151,Air India,AI 509,Bengaluru,19:35:00,New Delhi,22:35,03 h,5368,6863,4352
110,Akasa Air,QP 1350,New Delhi,21:00:00,Bengaluru,23:35,02 h 35 m,5400,7141,4084
111,Akasa Air,QP 1350,New Delhi,21:00:00,Bengaluru,23:35,02 h 35 m,5400,3822,3168
392,Vistara,UK 880,Hyderabad,13:15:00,New Delhi,15:35,02 h 20 m,5401,6844,6638
393,Vistara,UK 880,Hyderabad,13:15:00,New Delhi,15:35,02 h 20 m,5401,4877,4477
286,IndiGo,6E 2284,New Delhi,05:25:00,Kolkata,07:55,02 h 30 m,5408,4512,6489
287,Vistara,UK 747,New Delhi,06:15:00,Kolkata,08:25,02 h 10 m,5408,4355,5413
288,IndiGo,6E 5219,New Delhi,06:25:00,Kolkata,08:35,02 h 10 m,5408,4805,7481
289,IndiGo,6E 6182,New Delhi,15:55:00,Kolkata,18:10,02 h 15 m,5408,7185,3537
290,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,5408,3496,6787
291,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,5408,3137,6743
292,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,5408,6273,7853
293,IndiGo,6E 2057,New Delhi,19:00:00,Kolkata,21:05,02 h 05 m,5408,4732,6283
294,IndiGo,6E 2057,New Delhi,19:00:00,Kolkata,21:05,02 h 05 m,5408,6296,7603
295,SpiceJet,SG 8251,New Delhi,19:30:00,Kolkata,21:40,02 h 10 m,5408,5389,5974
296,IndiGo,6E 2517,New Delhi,20:30:00,Kolkata,22:40,02 h 10 m,5408,6650,6816
297,IndiGo,6E 6005,New Delhi,22:50:00,Kolkata,"01:00
+ 1 DAY",02 h 10 m,5408,5262,6477
298,IndiGo,6E 2603,New Delhi,23:50:00,Kolkata,"02:05
+ 1 DAY",02 h 15 m,5408,4354,6897
299,Vistara,UK 737,New Delhi,15:45:00,Kolkata,18:05,02 h 20 m,5440,5266,7212
300,Vistara,UK 737,New Delhi,15:45:00,Kolkata,18:05,02 h 20 m,5440,4348,5357
394,Vistara,UK 890,Hyderabad,17:40:00,New Delhi,19:55,02 h 15 m,5453,6691,3805
395,Air India,AI 559,Hyderabad,06:15:00,New Delhi,08:45,02 h 30 m,5472,7850,3371
396,Air India,AI 559,Hyderabad,06:15:00,New Delhi,08:45,02 h 30 m,5472,6036,7892
397,Air India,AI 523,Hyderabad,14:10:00,New Delhi,16:35,02 h 25 m,5472,4459,3436
398,Air India,AI 541,Hyderabad,16:25:00,New Delhi,18:50,02 h 25 m,5472,5023,4892
399,Air India,AI 840,Hyderabad,20:50:00,New Delhi,23:20,02 h 30 m,5472,4475,7067
301,Air India,AI 767,New Delhi,12:20:00,Kolkata,14:30,02 h 10 m,5492,4666,4857
302,Air India,AI 764,New Delhi,17:05:00,Kolkata,19:15,02 h 10 m,5492,7868,6173
303,Air India,AI 764,New Delhi,17:05:00,Kolkata,19:15,02 h 10 m,5492,6929,3408
304,Air India,AI 762,New Delhi,21:00:00,Kolkata,23:30,02 h 30 m,5492,6109,4810
112,Air India,AI 813,New Delhi,08:00:00,Bengaluru,10:55,02 h 55 m,5503,5223,4100
152,Vistara,UK 820,Bengaluru,17:50:00,New Delhi,20:35,02 h 45 m,5513,4187,3540
153,Vistara,UK 820,Bengaluru,17:50:00,New Delhi,20:35,02 h 45 m,5513,3233,5500
154,Vistara,UK 818,Bengaluru,19:40:00,New Delhi,22:20,02 h 40 m,5513,7007,6485
155,Vistara,UK 814,Bengaluru,21:10:00,New Delhi,23:45,02 h 35 m,5513,3665,3556
156,Vistara,UK 814,Bengaluru,21:10:00,New Delhi,23:45,02 h 35 m,5513,3532,6985
28,IndiGo,6E 5294,Mumbai,14:45:00,Bengaluru,16:40,01 h 55 m,5540,4537,7469
157,Akasa Air,QP 1359,Bengaluru,04:30:00,New Delhi,07:10,02 h 40 m,5552,7789,3005
73,IndiGo,6E 5255,Bengaluru,18:00:00,Mumbai,19:50,01 h 50 m,5595,6196,5716
158,SpiceJet,SG 8136,Bengaluru,02:00:00,New Delhi,04:55,02 h 55 m,5596,3120,7382
159,SpiceJet,SG 8136,Bengaluru,02:00:00,New Delhi,04:55,02 h 55 m,5596,6855,3745
160,SpiceJet,SG 8198,Bengaluru,20:10:00,New Delhi,23:20,03 h 10 m,5596,5231,5638
113,IndiGo,6E 2338,New Delhi,20:55:00,Bengaluru,23:40,02 h 45 m,5599,7210,5159
161,Air India,AI 804,Bengaluru,05:45:00,New Delhi,08:40,02 h 55 m,5618,7609,7646
162,Air India,AI 503,Bengaluru,17:15:00,New Delhi,20:05,02 h 50 m,5618,6477,4808
